Cell_ID	Cluster	Trajectory_ID	Pseudo_time	X_coord	Y_coord
Cell_202	1	1	NA	-5.14104760243321	-3.98697362432415
Cell_203	1	1	NA	-0.608226957632388	-3.45944074936959
Cell_204	1	1	NA	-2.51458547192833	-3.52126002211501
Cell_205	1	1	NA	0.573775377907368	-0.669765129012486
Cell_206	2	1	NA	4.33168635122058	3.8092408585842
Cell_207	1	1	NA	-0.704935918557757	-1.6251969580445
Cell_208	1	1	NA	-1.03265313476524	-2.41888050387678
Cell_209	1	1	NA	0.826143794172308	-0.366226717467828
Cell_210	1	1	NA	-2.30817807624974	-3.59438218805954
Cell_211	1	1	NA	0.554884560564211	-1.83611203500104
Cell_212	2	1	NA	1.98307368458278	0.69959965016167
Cell_213	2	1	NA	2.23180728299312	1.05691665076461
Cell_214	2	1	NA	2.70958073141865	0.25795115941971
Cell_215	2	1	NA	2.32164407168386	0.0585425466089904
Cell_216	1	1	NA	-3.6945312616932	-4.29148988788246
Cell_217	2	1	NA	3.88178587457249	5.23860743130419
Cell_218	3	1	NA	-1.32817963321245	9.27513076506959
Cell_219	1	1	NA	3.82702420523701	-7.74615910076931
Cell_220	1	1	NA	-1.75822610164262	-2.38434614323067
Cell_221	2	1	NA	2.75570968368374	0.817788023371214
Cell_222	3	1	NA	2.78922042738548	7.17856880485919
Cell_223	1	1	NA	-1.20508757361424	-1.65745083180616
Cell_224	2	1	NA	2.08222535140695	0.0739488034483397
Cell_225	2	1	NA	3.4298064222259	2.20165498575857
Cell_226	3	1	NA	2.59263991901712	7.67503781749065
Cell_227	1	1	NA	-1.05135417077098	-2.89477322036149
Cell_228	1	1	NA	0.884909140995165	-0.471833432598128
Cell_229	3	1	NA	3.0249667788083	6.14756343523503
Cell_230	1	1	NA	0.585194674072399	-1.817583905028
Cell_231	2	1	NA	4.10114650275234	2.66886938904315
Cell_232	2	1	NA	3.53515885916356	4.375056912287
Cell_233	2	1	NA	4.28949590094241	2.92607789632306
Cell_234	1	1	NA	1.01756233760636	-1.55338181577718
Cell_235	1	1	NA	-0.98629201210547	-1.85285950167712
Cell_236	2	1	NA	4.23763991723451	4.87912843472851
Cell_237	1	1	NA	0.209044901477704	-1.07348000783295
Cell_238	3	1	NA	0.77196726303678	8.88717254361454
Cell_239	2	1	NA	3.79209854093907	3.96571483767524
Cell_240	1	1	NA	-6.94025593044101	-4.60655489643429
Cell_241	2	1	NA	2.13269269154402	0.920723277131282
Cell_242	1	1	NA	-5.54114768459647	-3.68106323986111
Cell_243	1	1	NA	-0.141465334086109	0.187156493180259
Cell_244	1	1	NA	-5.40061780403883	-3.64288973701207
Cell_245	1	1	NA	0.113268892922092	-1.85287297434957
Cell_246	1	1	NA	0.145460117677869	0.0771136803471886
Cell_247	2	1	NA	1.58431729838739	-0.310143568949279
Cell_248	2	1	NA	2.23671789344088	-0.372151276965363
Cell_249	1	1	NA	1.23138939339862	-1.50924222929771
Cell_250	2	1	NA	3.07876363930292	3.23600465565052
Cell_251	3	1	NA	0.32795392183974	8.92211612292696
Cell_252	2	1	NA	1.58996408923224	-0.98407045980246
Cell_253	1	1	NA	1.15887648024275	-1.62738645484157
Cell_254	1	1	NA	2.15529796083886	-3.21126675394653
Cell_255	2	1	NA	1.93782657491244	0.685464303174585
Cell_256	2	1	NA	2.61768489533454	0.368027843528125
Cell_257	1	1	NA	-1.19542856540616	-2.86431619361641
Cell_258	1	1	NA	-2.80331747446759	-3.59015768408647
Cell_259	1	1	NA	1.77107513587212	-3.64280431338065
Cell_260	1	1	NA	-2.61636864529666	-3.13126937363758
Cell_261	1	1	NA	-0.572756698677489	-2.22648199565035
Cell_262	3	1	NA	0.514065637209211	8.82820796165848
Cell_263	2	1	NA	4.07475352545805	2.45768703603401
Cell_264	2	1	NA	1.34551348521896	-0.575492253702845
Cell_265	1	1	NA	-0.386383318936864	-1.4066442704086
Cell_266	3	1	NA	0.605646869595752	8.82528835553251
Cell_267	1	1	NA	0.265452852760961	-2.04249202000228
Cell_268	1	1	NA	-7.17415542504981	-4.57878101926319
Cell_269	2	1	NA	2.8577869675505	-0.214859633831642
Cell_270	3	1	NA	-1.2524918416194	9.26015076480094
Cell_271	3	1	NA	0.207384017448998	8.98025399476569
Cell_272	3	1	NA	3.16641215507732	6.16442793162551
Cell_273	3	1	NA	3.79844476796869	6.19373396212343
Cell_274	1	1	NA	-5.16277085199675	-4.03816767519074
Cell_275	2	1	NA	3.86590207119256	3.17953449098675
Cell_276	2	1	NA	1.73975299927929	0.873320834146502
Cell_277	1	1	NA	-1.48990760805715	-2.28470192279799
Cell_278	1	1	NA	-4.64480355766011	-3.13227432835726
Cell_279	3	1	NA	3.303841274658	6.24454074276394
Cell_280	1	1	NA	-1.41477769382795	-3.18756340413024
Cell_281	1	1	NA	-8.87967737554319	-4.16236970666852
Cell_282	1	1	NA	-0.136854945270844	-1.51304055638291
Cell_283	1	1	NA	-2.07967961806379	-3.03105018147291
Cell_284	1	1	NA	0.310587299349556	-2.15987633768965
Cell_285	3	1	NA	3.08682832252868	6.47104997567315
Cell_286	1	1	NA	0.504481021989088	-2.39013439989047
Cell_287	2	1	NA	4.18355253354206	4.62478801014384
Cell_288	1	1	NA	-2.26073258435124	-3.59149045181234
Cell_289	1	1	NA	-3.14936630053614	-3.83660123110184
Cell_290	1	1	NA	-1.70455623533711	-3.24605920291967
Cell_291	1	1	NA	-1.01538331775329	-1.09128307254703
Cell_292	2	1	NA	4.11970056797565	3.6670195288637
Cell_293	1	1	NA	-8.9228931110085	-4.08494296755919
Cell_294	3	1	NA	2.00256168022286	8.10971249045749
Cell_295	1	1	NA	-2.56590929562182	-3.34715240034352
Cell_296	2	1	NA	1.76154609697616	-0.0423046001830842
Cell_297	1	1	NA	-6.39774926019038	-4.53221265765194
Cell_298	2	1	NA	2.80163567682388	2.43234037986173
Cell_299	1	1	NA	-0.360629574206893	-2.44354022397061
Cell_300	2	1	NA	2.14547475973793	-0.1205704535404
Cell_301	2	1	NA	4.38231404834489	3.76714204727429
Cell_302	1	1	NA	2.61261154247847	-2.31382989204414
Cell_303	1	1	NA	-1.38856660359215	-3.24067627897201
Cell_304	2	1	NA	2.14218964840143	-0.0457402919661807
Cell_305	1	1	NA	-6.31279136054459	-4.10694312664453
Cell_306	1	1	NA	0.622208777379191	-2.09616114551662
Cell_307	1	1	NA	1.20567003937163	-1.49890910915382
Cell_308	2	1	NA	2.67864815243811	-0.363949835661359
Cell_309	1	1	NA	-0.896447103707391	-2.12380066800195
Cell_310	3	1	NA	1.25231405451436	8.64917168015546
Cell_311	2	1	NA	3.28590839533418	3.16616299611987
Cell_312	3	1	NA	2.77920301432539	6.93769497938462
Cell_313	1	1	NA	-5.77351528643706	-4.67148334046499
Cell_314	2	1	NA	3.46945973163989	2.71240638552537
